ons_id,mysociety_id,mysociety_unit_id
W07000049,66101,24881
W07000058,66085,24852
S14000001,14398,33486
S14000002,14399,33487
S14000003,14400,33927
E14000530,65730,25022
E14000531,65773,24629
E14000532,65892,24649
W07000043,66103,24660
E14000533,65809,24766
S14000004,14401,33066
W07000057,66108,44152
S14000005,14402,32836
E14000534,65784,25172
E14000535,65895,24794
E14000536,65811,25204
E14000537,66056,24709
E14000538,65739,24870
S14000006,14403,43392
E14000539,66008,24814
S14000007,14404,32849
E14000540,65662,25111
E14000541,65665,24753
E14000542,66012,24770
E14000543,66006,24862
E14000544,65898,25146
E14000545,65623,25021
E14000546,65711,24832
E14000547,65798,24979
E14000548,65751,24778
E14000549,65731,24991
E14000550,65687,24921
E14000551,65725,25060
E14000552,65561,36751
N06000001,66124,
N06000002,66125,
N06000003,66126,
N06000004,66127,
E14000553,65689,25037
S14000008,14405,35027
E14000554,65726,25200
E14000555,65853,25070
E14000556,65934,24913
E14000557,65845,25159
E14000558,65611,25108
E14000559,65581,24657
E14000560,65931,24689
E14000561,65667,24665
E14000562,65597,24726
E14000563,66072,24695
E14000564,65989,24693
E14000565,65966,24691
E14000566,66028,24666
E14000567,65804,24692
E14000568,65707,24698
E14000569,65820,24975
E14000570,65981,24782
E14000571,65583,24712
E14000572,65750,24828
E14000573,65679,24811
W07000072,66093,24868
E14000574,65805,25136
E14000575,65753,25165
E14000576,65841,38129
E14000577,65628,24797
E14000578,65646,24738
E14000579,65712,24716
E14000580,65738,24739
E14000581,65821,24682
E14000582,65969,38138
E14000583,66071,24745
E14000584,65993,25194
E14000585,65933,25184
E14000586,65697,37524
E14000587,65694,24823
E14000588,65995,24806
E14000589,66036,24807
E14000590,65670,25162
W07000068,66088,24721
E14000591,66065,24999
E14000593,65958,24960
E14000592,65595,24967
E14000594,65685,25114
W07000073,66095,24925
E14000595,65620,25051
E14000596,66000,24900
E14000597,65844,25176
E14000598,65787,25175
E14000599,65839,24950
E14000600,66009,24930
E14000601,66031,24978
E14000602,65574,24951
E14000603,65852,44179
E14000604,65954,25084
E14000605,65617,24725
E14000606,65639,25076
E14000607,65849,24793
E14000608,65909,24845
E14000609,65846,24808
E14000610,65708,24623
E14000611,66015,24737
E14000612,65975,24715
E14000613,66035,25163
W07000076,66106,24883
S14000009,14406,31937
E14000614,65906,24779
E14000615,65913,25066
E14000616,65826,25228
E14000617,65927,25099
E14000618,65790,24622
E14000619,65878,25214
W07000050,66090,24928
W07000051,66120,24927
W07000080,66119,24929
W07000079,66114,24926
E14000620,65929,44155
W07000067,66089,24854
W07000066,66109,36747
E14000621,65972,25029
E14000622,65914,25181
S14000010,14407,43397
E14000623,65749,44162
E14000624,65748,25210
W07000064,66110,24853
E14000625,65615,36731
E14000626,66075,37522
E14000627,65727,24645
E14000628,65797,44180
E14000629,65818,24992
E14000630,65946,24856
E14000631,65801,24904
E14000632,65980,24749
E14000633,65558,25129
E14000634,65721,25073
E14000635,65940,25018
E14000636,65886,25004
E14000637,65792,24758
E14000638,65885,25185
E14000639,65759,25040
E14000640,65734,24634
E14000641,66021,25102
E14000642,66030,25220
E14000643,66057,24898
W07000062,66121,24686
W07000059,66100,38782
S14000011,14408,33924
E14000644,65926,44169
E14000645,65835,24733
E14000646,65771,24614
E14000647,65893,24914
E14000648,65590,24894
E14000649,65636,24744
E14000650,65575,24731
E14000651,65877,24730
E14000652,65781,25104
E14000653,65572,24603
E14000654,65603,25061
E14000655,65867,25030
E14000656,65923,25028
S14000012,14409,33651
W07000070,66105,24867
E14000657,65985,25110
E14000658,65802,24974
E14000659,66011,25107
E14000660,66025,24788
W07000042,66112,24685
E14000661,65924,24668
E14000662,66070,24746
E14000664,65799,24667
E14000663,65863,24747
E14000665,65723,24932
E14000666,65746,24732
E14000668,65621,24819
E14000669,65672,24850
E14000667,65553,24800
E14000670,65555,25224
E14000671,65806,24661
E14000672,66054,24662
E14000673,65808,25031
S14000013,14410,36336
S14000014,14411,35754
S14000015,14412,33065
S14000016,14413,33064
S14000017,14414,33657
W07000061,66096,24785
E14000674,65755,24965
E14000675,65701,24966
E14000676,65794,24937
E14000677,65823,25101
N06000005,66128,
E14000684,65714,25189
E14000678,65813,25168
S14000018,14415,43161
E14000679,65573,25090
E14000680,65569,25054
S14000019,14416,34350
E14000685,65881,25142
N06000006,66129,
S14000020,14417,33670
S14000021,14418,33915
E14000681,65856,25059
E14000682,65780,25173
E14000683,65979,24851
E14000686,65756,24617
S14000022,14419,33667
S14000023,14420,33662
S14000024,14421,33932
S14000025,14422,33930
S14000026,14423,33655
E14000687,65570,25075
E14000688,65991,24659
E14000689,65677,24772
E14000690,65816,25086
E14000691,66050,25045
E14000692,65567,25046
E14000693,66044,25097
E14000694,65803,25027
E14000695,65743,24765
E14000696,66023,25109
E14000697,66062,25026
E14000698,66033,25192
S14000028,14424,33652
E14000699,65857,25157
E14000700,65764,25179
E14000701,65655,24962
N06000007,66130,
E14000702,65865,44170
E14000703,65938,25001
E14000704,65779,25209
E14000705,66064,24855
N06000008,66131,
E14000706,65955,24810
E14000707,65952,24874
E14000708,65900,24633
E14000709,65870,25149
E14000710,65551,24831
E14000711,65864,25190
S14000029,14425,33920
S14000030,14426,33922
S14000031,14427,33912
S14000032,14428,33919
S14000033,14429,33913
S14000034,14430,33918
S14000035,14431,33917
S14000036,14432,33483
E14000712,65996,24863
S14000037,14433,33335
E14000713,65928,25187
W07000046,66083,24878
E14000714,65683,24895
E14000715,65944,25145
E14000716,65600,25010
E14000717,65627,25230
E14000718,65837,25087
E14000719,65838,25056
E14000720,65550,25042
E14000721,65752,25071
E14000722,65971,24663
E14000723,65599,24780
E14000724,65671,24912
E14000725,65915,24632
E14000726,65836,24993
E14000727,65576,24995
E14000728,65675,24846
E14000729,65875,25098
E14000730,65578,37262
E14000731,65650,24968
E14000732,65796,24939
E14000733,65990,25047
E14000734,65674,44167
E14000735,65640,25203
E14000736,65699,25171
E14000737,65912,24938
E14000738,65557,24644
E14000739,65967,24892
E14000740,66018,24771
E14000741,65754,25003
E14000742,65786,24890
E14000743,65582,24812
E14000744,66003,25077
E14000745,65994,24969
E14000746,65850,25126
E14000747,65814,24736
E14000748,66052,24625
E14000749,65724,36734
E14000750,65824,25039
E14000751,66069,25112
E14000752,65883,25044
E14000753,65717,25130
E14000754,65947,25122
E14000755,65691,25174
E14000756,65624,24755
E14000757,65592,24944
E14000758,65899,24781
E14000759,65630,25092
E14000760,65585,25094
S14000038,14434,33646
S14000039,14435,32444
E14000761,65925,25222
E14000762,65791,25195
E14000763,65937,25043
E14000764,65882,25038
W07000077,66097,24884
E14000765,66026,25148
E14000766,65871,24825
E14000767,65968,44159
E14000768,65939,44153
E14000769,66001,24858
S14000040,14436,34349
E14000770,65778,24983
E14000771,65709,24945
E14000772,65618,24946
E14000773,65984,24923
E14000774,66053,24952
S14000041,14437,33482
E14000775,65869,24680
N06000009,66132,
S14000042,14438,34351
E14000776,65568,24837
E14000777,65765,24804
E14000778,65941,24803
E14000779,65866,24820
E14000780,66068,24821
E14000781,65988,24805
E14000782,65807,24830
E14000783,65604,24829
E14000784,65587,24815
E14000785,65978,24675
E14000786,66020,25158
E14000789,66041,25064
E14000787,65705,25063
E14000788,65616,25065
E14000790,66013,25072
E14000791,66046,24610
E14000792,65704,24897
S14000043,14439,43160
E14000793,66066,24656
E14000794,65970,24681
E14000795,65644,24654
E14000796,65766,24678
S14000044,14440,33929
W07000045,66117,24901
E14000797,65785,24790
E14000798,65987,25009
E14000799,65690,24621
E14000800,65887,24908
E14000801,66080,24922
E14000802,65896,24626
E14000803,65901,24934
E14000804,65936,25177
E14000805,65645,24717
E14000806,65661,25198
E14000807,66048,24669
E14000808,65834,24670
E14000809,65819,24671
E14000810,65647,24796
E14000811,65772,44157
E14000812,65932,24729
W07000071,66086,24866
E14000813,65718,24909
E14000814,66007,44172
E14000819,65998,25014
E14000820,65657,25011
E14000815,66061,37526
S14000045,14441,33931
E14000816,65949,25207
E14000817,65999,25131
N06000010,66133,
E14000818,65888,24760
E14000821,65953,24872
E14000822,66076,24871
E14000823,66038,24987
E14000824,65693,25057
W07000054,66084,24841
W07000063,66111,24687
S14000046,14442,32561
E14000825,65633,24861
E14000826,65735,24776
S14000047,14443,33925
S14000027,14444,32681
W07000069,66082,24865
E14000829,65696,24848
E14000830,65862,24954
E14000834,65861,24607
E14000831,66055,25151
E14000832,65594,25150
E14000833,65664,25167
E14000827,65556,37257
E14000828,65815,25154
W07000055,66094,24918
W07000056,66099,24917
N06000011,66134,
E14000835,65828,44163
E14000836,65918,24774
E14000861,66059,24859
E14000862,65910,24857
N06000012,66135,
S14000048,14445,34348
E14000837,65602,25152
E14000838,65658,25050
E14000839,65702,25127
N06000013,66136,
E14000840,65745,25124
E14000841,65855,24911
E14000842,66063,25007
E14000843,65676,24748
S14000049,14446,33333
E14000844,65729,37258
E14000845,65840,24970
E14000846,65619,24953
E14000847,65642,24722
E14000848,65872,25199
E14000849,66017,24604
E14000850,65817,24948
E14000851,65760,38140
E14000852,65605,25219
E14000853,65720,25166
E14000854,66024,24700
E14000855,65565,36926
E14000856,65859,25078
E14000857,65894,25020
E14000858,65776,24764
E14000859,65713,25119
E14000860,65822,24903
E14000863,65768,25226
E14000864,65634,25223
E14000865,65559,24817
E14000866,65643,44181
E14000867,65945,24816
E14000868,65663,24763
S14000050,14447,33479
W07000074,66107,24915
E14000869,65653,25088
E14000870,65903,24734
E14000871,66022,24710
S14000051,14448,32565
E14000872,65682,25106
E14000873,66060,24889
E14000874,65564,24888
S14000052,14449,33914
S14000053,14450,33910
E14000875,65668,24826
E14000876,66002,24706
E14000877,66081,44154
S14000054,14451,43159
E14000878,65649,24972
E14000879,65974,44164
E14000880,65737,25217
W07000075,66087,24916
E14000881,65860,25193
E14000882,65917,25068
E14000883,65566,25170
E14000884,66014,25186
W07000065,66102,44151
E14000885,65673,24809
E14000886,65637,24822
E14000887,66045,24990
E14000888,65795,25183
E14000889,65973,24957
E14000890,65982,24956
E14000891,66032,25012
E14000892,65700,36914
E14000893,66005,25058
W07000052,66092,24882
E14000894,65579,24827
E14000896,65598,24963
E14000895,65722,24875
E14000897,65843,24735
E14000898,66043,25180
E14000899,65584,25196
E14000900,66077,25113
E14000901,65884,25141
E14000902,66019,24756
S14000055,14452,32201
E14000904,66029,24768
E14000903,65930,24798
E14000905,65656,24742
E14000906,65681,24941
E14000907,65589,24980
E14000908,65736,24792
S14000056,14453,33921
E14000909,65833,24847
E14000910,65654,25115
E14000911,65688,24713
E14000912,65889,25080
E14000913,65891,24924
E14000914,66027,37530
E14000915,65763,25015
E14000916,65706,24719
E14000917,65842,24802
E14000918,65698,25105
E14000921,65601,24752
E14000919,65957,24751
E14000922,65741,24703
E14000923,65549,24750
E14000920,65793,24767
E14000924,65632,24795
E14000925,65959,24824
E14000926,65563,24627
E14000927,65610,25205
E14000928,65986,24836
E14000929,65920,24896
E14000930,65680,24935
E14000931,65879,24727
E14000932,65812,25053
E14000955,66016,25156
E14000956,65580,25155
N06000014,66137,
E14000933,65962,25182
E14000934,65922,24971
E14000935,65762,24701
E14000936,65788,25202
N06000015,66138,
E14000937,65997,25100
E14000938,65684,25208
E14000957,65876,25197
E14000939,66051,25008
E14000940,66034,24789
E14000941,65666,25211
E14000942,65902,44166
E14000958,65728,24759
E14000943,65951,24783
E14000944,65719,25147
E14000945,65943,24628
E14000946,65614,24601
E14000947,65800,24931
E14000948,65829,25225
E14000949,65848,24907
E14000950,65775,25212
E14000951,65596,24905
E14000952,65652,25118
E14000953,65678,25055
E14000954,65956,44165
E14000959,65942,24959
E14000965,66067,24605
E14000966,65907,24613
E14000960,65715,24943
E14000967,65960,24708
E14000961,65591,25215
E14000968,65571,25006
E14000962,66073,24676
E14000963,65732,24677
S14000057,14454,33331
E14000964,65854,25227
E14000969,65606,24646
E14000970,65641,25013
E14000971,65908,24973
E14000972,65710,24612
E14000973,65783,24608
E14000974,65770,24611
E14000975,65950,36931
E14000976,65609,24688
N06000016,66139,
E14000977,65648,24762
E14000978,66042,25033
E14000979,65911,24650
E14000980,65858,24885
E14000981,65607,42473
E14000982,65586,25135
E14000983,65747,24981
E14000984,66040,24988
E14000985,65703,24641
W07000048,66091,24879
W07000047,66118,24902
E14000986,65880,24642
E14000987,65964,24615
E14000988,65767,25103
E14000989,65992,36741
E14000990,65976,36743
E14000991,65789,24843
E14000992,65977,24620
E14000993,65686,24860
E14000994,65905,24920
E14000995,65919,25144
E14000996,65761,43526
E14000997,65744,25143
E14000998,65554,25034
E14000999,65692,25213
W07000053,66104,24869
E14001000,65904,25079
E14001001,65810,37540
E14001002,66074,25041
E14001003,65659,44161
E14001004,65660,25160
E14001005,65782,24985
E14001006,65868,25164
N06000017,66140,
E14001007,65613,24936
W07000060,66116,24784
W07000078,66098,24947
E14001008,65825,25036
E14001009,65733,24754
E14001010,65635,24683
E14001011,65890,24640
E14001012,65832,24600
E14001013,65651,43746
E14001014,65631,25191
E14001015,65638,24887
E14001016,66079,24694
E14001017,65874,24651
E14001018,65916,24631
E14001019,65608,24741
E14001020,66049,44158
E14001021,65626,24942
E14001022,66004,25229
E14001023,65961,25133
E14001024,65769,38407
E14001025,65830,24893
E14001026,65560,25052
E14001027,65740,25005
E14001028,65588,24769
S14000058,14455,32848
E14001029,65983,24664
E14001030,66047,24639
E14001031,65716,25169
S14000059,14456,33649
E14001032,66058,25067
E14001033,65873,24718
E14001036,65851,24997
E14001037,65963,24876
E14001038,65742,25017
E14001034,65629,36736
N06000018,66141,
E14001035,65758,24813
E14001039,65612,24740
E14001040,65827,24986
E14001041,65921,25128
E14001042,65552,24958
E14001043,65847,24658
E14001044,65897,24684
E14001045,65831,44168
E14001046,65622,24842
E14001047,66039,25024
E14001048,65774,24933
E14001049,65777,24636
E14001050,65593,24635
E14001051,65948,24637
E14001052,65577,24786
E14001053,65625,24977
E14001054,65757,24714
E14001055,65562,25188
W07000044,66113,24619
E14001056,66010,24891
E14001057,65695,44156
E14001058,66078,24723
E14001059,65669,41613
E14001060,65935,25153
W07000041,66115,24864
E14001061,65965,24833
E14001062,66037,24834
